sample_id,reqId,model,mode,testId,n_test_occurrences,element_type,element_text,evidence_window,full_evidence,window_is_fallback,anchor_terms_in_window,gherkin_test,matcher_verdict,human_verdict,notes
50,R60c,gpt-4o-mini,graph,R60c_1,18,cross_module,Marketing vs system notification boundary ambiguity,"key rental details required by the current specification, while keeping field naming consistent across the product and warehouse-facing terminology."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""QA Marta"",
        ""timestamp"": ""2026-02-25T14:00:00Z"",
        ""text"": ""Please confirm which identifier wording should appear in outbound messages. The specification and the warehouse-facing screens do not use exactly th

[7] source=R58c type=Requirement hops=1 rel=REFINES
Notification preference rule

[8] source=G51c type=Gap hops=2 rel=REFINES > AFFECTS
Notification preference override ambiguity

[9] source=G54c type=Gap hops=1 rel=AFFECTS
Marketing vs system notification boundary ambiguity

[10] source=I56b type=Implementation hops=1 rel=AFFECTS
User notification preferences

[11] source=R52c type=Requirement/SrcChunk hops=2 chunk=66f009541ec787dc doc=JIRA-Notifications.md rel=IN_DOC > IN_DOC
rence filtering.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-NOTIF",False,False,4,"Feature: Notification Preference Enforcement
  Scenario: User has set notification preferences
    Given the user has configured their notification preferences to 'Email'
    When the system sends a notification
    Then the notification should be sent via 'Email' only",present_in_evidence,PRESENT_SCATTERED,
51,R2,claude-haiku-4-5-20251001,graph,R2_1,10,supersede,Allow duplicate email for shared inbox,"ead, it should display a generic message: 'If this email is valid, a message has been sent to it.'"",
  ""comments"": [
    {
      ""author"": ""Security Engineer Viktor"",
      ""timestamp"": ""2026-02-16T10:00:00Z"",
      ""text"": ""This is critical for OWA (OWASP) compliance. We cannot leak user existence through the registration form.""
    }
  ]
},
  {
    ""ticket_id"": ""JIRA-Auth-109"",
    ""summary"": ""Authentication gate - Block login for non-Active accounts"",
    ""description"": ""The system shall not allow authentication or platform access for accounts that are not in Active status (e.g., Pending, Suspended, Deleted)."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-1

[12] source=I2 type=Implementation hops=1 rel=AFFECTS
Generic duplicate-email error

[13] source=I3 type=Implementation hops=1 rel=VIOLATES_REQUIREMENT
Allow duplicate email for shared inbox

[14] source=I9 type=Implementation hops=1 rel=AFFECTS
E.164 normalization + strict email validation

[15] source=C41 type=Commu",False,False,5,"Feature: Unique Email Address Validation
  Scenario: System rejects duplicate email during registration
    Given a user with email 'john.doe@example.com' is already registered
    When a new user attempts to register with email 'john.doe@example.com'
    Then the registration should fail
    And the system should display the generic message 'If this email is valid, a message has been sent to it.'",present_in_evidence,PRESENT_CONTRADICTED,
52,R34,claude-haiku-4-5-20251001,hybrid,R34_6,1,local,Identifier consistency rule,"[1] source=R34 type=Requirement hops=0 rel=TARGET
Identifier consistency rule

[2] source=R34 type=Requirement/SrcChunk hops=0 chunk=56489466fbfffbaa doc=JIRA-Auth.md rel=TARGET
The system shall not allow authentication or platform access for accounts that are not in Active status (e.g., Pending, Suspended, Deleted)."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-110"",
    ""summary"": ""Activation token - Enforce single-use"",
    ""description"": ""Activation tokens shall be single-use. After a successful activation, the system shall inva",False,False,3,"Feature: Identifier Stability Across Modules
  Scenario: Identifier remains stable when entity moves between system modules
    Given an account with identifier ""ACC-STABLE-001"" in the user management module
    When the account is accessed from the billing module
    And the account is accessed from the reporting module
    Then the identifier remains ""ACC-STABLE-001"" in all modules
    And no identifier transformation or aliasing occurs without explicit mapping
    And the identifier unambiguously references the same account entity",present_in_evidence,PRESENT_USABLE,
53,R60c,gpt-4o-mini,graph,R60c_1,20,conflict,EMAIL_MARKETING_Newsletter_Force.txt,"[1] source=R60c type=Requirement/SrcChunk hops=0 chunk=71a9b59bdfea7f2f doc=EMAIL_MARKETING_Newsletter_Force.txt rel=TARGET
From: marketing@toolchain.com
Date: 2026-02-26 16:00
Subject: Question about promotional content in reminder communications

Hi Team,

For the beta period, Marketing would like to explore whether reminder-style emails could also carry a small promotional or onboarding message, instead of treating product messaging and operational reminders as completely separate streams.

Before we move in that direction, we need guidance on how this should interac",False,False,2,"Feature: Notification Preference Enforcement
  Scenario: User has set notification preferences
    Given the user has configured their notification preferences to 'Email'
    When the system sends a notification
    Then the notification should be sent via 'Email' only",present_in_evidence,PRESENT_USABLE,
54,R58c,claude-haiku-4-5-20251001,graph,R58c_1,18,refine,Mandatory notification exception handling,"required by the current specification, while keeping field naming consistent across the product and warehouse-facing terminology."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""QA Marta"",
        ""timestamp"": ""2026-02-25T14:00:00Z"",
        ""text"": ""Please confirm which identifier wording should appear in outbound messages. The specification and the warehouse-facing screens do not use exactly th

[10] source=R51c type=Requirement hops=2 rel=IN_DOC > IN_DOC
Lifecycle notification generation rule

[11] source=D51 type=Specification hops=1 rel=DEFINED_IN
Notification Spec

[12] source=I56b type=Implementation hops=1 rel=IMPLEMENTS
User notification preferences

[13] source=R61c type=Requirement hops=1 rel=REFINES
Mandatory notification exception handling

[14] source=R52c type=Requirement/SrcChunk hops=2 chunk=66f009541ec787dc doc=JIRA-Notifications.md rel=IN_DOC > IN_DOC
rence filtering.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-NOTIF-507"",
    ""summary""",False,False,4,"Feature: Notification Preference Management
  Scenario: User enables notification preference for rent creation events
    Given a user has access to notification preference settings
    When the user enables notifications for rent creation events
    Then the system shall store the preference as enabled
    And the system shall apply this preference when sending rent creation notifications",present_in_evidence,PRESENT_SCATTERED,
55,R5,claude-haiku-4-5-20251001,hybrid,R5_1,19,cross_module,Activation expiry / pending cleanup gap,"rd format: local-part@domain. The local part may contain letters, numbers, dots, hyphens, and underscores. The domain must contain at least one dot and valid domain name characters. Example of valid format: user.name@example.com""
    }
  ]
},
  {
    ""ticket_id"": ""JIRA-Auth-104"",
    ""summary"": ""Registration - Create Pending account after successful submission"",
    ""description"": ""Upon successful submission of the registration form, the system shall create a new user account with status set to Pending."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-105"",
    ""summary"": ""Activation - Send confirmation email with activation link"",
    ""description"": ""After successful registration, the system shall send an account activation email to the provided email address. The email shall c

[9] source=G1 type=Gap hops=1 rel=AFFECTS
Activation expiry / pending cleanup gap

[10] source=I10 type=Implementation hops=1 rel=REFINES
Activation token hashing and expiry

[11] source=A3 type=Actor",False,False,5,"Feature: Activation Token Cryptographic Security
  Scenario: Activation token is generated with cryptographic randomness
    Given a user has successfully registered with email ""user@example.com""
    When the system generates an activation token
    Then the activation token must be cryptographically secure
    And the activation token must have sufficient entropy (minimum 128 bits)
    And the activation token must not be predictable or guessable",present_in_evidence,PRESENT_SCATTERED,
56,R70,gpt-4o-mini,hybrid,R70_1,30,conflict,Price calculation logic,"type=Implementation/SrcChunk hops=1 chunk=cc00a9173697dc7d doc=JIRA-Payment.md rel=CONFLICTS_WITH
[
  {
    ""ticket_id"": ""JIRA-PAY-601"",
    ""summary"": ""Pricing Configuration Service"",
    ""description"": ""Implement the pricing configuration layer so authorized users can define rental pricing structures and apply them consistently to rentable items without retroactively changing already established rental records."",
    ""status"": ""Closed""
  },
  {
    ""ticket_id"": ""JIRA-PAY-602"",
    ""summary"": ""Price Calculation and Precision"",
    ""description"": ""Implement rental cost calculation based on duration and pricing rules, and make sure the resulting amount is derived consistently across calculation, storage, and user-facing display. International billing and currency presentation should be treated as a related operational concern, but must not silently override the core pricing logic."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""times",False,False,3,"Feature: Rounding rule consistency
  Scenario: Verify subtotal rounding consistency
    Given a financial transaction with a subtotal of 10.555
    When the subtotal is rounded according to the defined rules
    Then the rounded subtotal should be 10.56",present_in_evidence,PRESENT_USABLE,
57,R4,claude-haiku-4-5-20251001,graph,R4_1,9,local,Multi-factor authentication (MFA) capability for login,"ce=R4 type=Requirement/SrcChunk hops=0 chunk=4c32feaa92e54f29 doc=CONF-AUTH-01.md rel=TARGET
 stored securely.
## 1.8.10 The system shall ensure that audit logs are available for administrative review.
## 1.8.11 The system shall ensure that audit logging does not expose sensitive information such as passwords.
## 1.8.12 The system shall retain audit logs according to the defined audit log retention policy.

## 1.9. Multi-Factor Authentication (MFA)
## 1.9.1 The system shall support multi-factor authentication as an additional security layer during user authentication.
## 1.9.2 The system shall allow users to enable or disable multi-factor authentication for their account.
## 1.9.3 The system shall require users to verify their identity using a second authentication factor when MFA is enabled.
## 1.9.4 The system shall support one-time password (OTP) verification using a time-based authentication method.
## 1.9.5 The system shall require the user to provide a valid OTP code during login",False,False,4,"Feature: MFA Authentication
  Scenario: User successfully authenticates with primary and secondary factors
    Given a user with MFA enabled
    When the user provides valid primary credentials
    And the user provides a valid secondary authentication factor
    Then authentication is completed successfully
    And the user gains access to the system",present_in_evidence,PRESENT_USABLE,
58,R71,gpt-4o-mini,graph,R71_1,20,conflict,EMAIL_FINANCE_MultiCurrency_HACK.txt,"hor"": ""Developer Dave"",
        ""timestamp"": ""2026-03-01T10:00:00Z"",
        ""text"": ""The current specification defines correctness expectations for the total, but it does not fully spell out how edge-case fractions should be handled at each calculation stage. I started with a simplified approach for partial-unit handling, but this ne

[2] source=R71 type=Requirement hops=0 rel=TARGET
Multi-currency conversion integrity

[3] source=R71 type=Requirement/SrcChunk hops=0 chunk=ba9aac1af7d4e225 doc=EMAIL_FINANCE_MultiCurrency_HACK.txt rel=TARGET
From: finance_director@toolchain.com
Date: 2026-03-03 11:00
Subject: Pilot concern about international billing presentation

Hi Team,

Finance has a concern related to the pilot rollout for internationally billed equipment.

For a subset of high-value inventory, we may need a billing presentation approach that works more cleanly across more than one currency context. The current specification covers general pricing and billing expectations, but it ",False,False,2,"Given a user requests a conversion from USD to EUR
When the conversion rate is 0.85
Then the converted amount should be calculated as 0.85 times the original amount in USD",present_in_evidence,PRESENT_USABLE,
59,R69,claude-haiku-4-5-20251001,vector,R69_10,4,cross_module,Display vs stored value discrepancy,"chunk=ebea956274025791 doc=JIRA-Payment.md rel=VECTOR_SIMILARITY
ctations for the total, but it does not fully spell out how edge-case fractions should be handled at each calculation stage. I started with a simplified approach for partial-unit handling, but this needs confirmation before we freeze the behavior.""
      },
      {
        ""author"": ""QA Marta"",
        ""timestamp"": ""2026-03-01T14:00:00Z"",
        ""text"": ""Please verify the consistency of subtotal, tax, and final amount handling. A display-friendly simplification in one layer can still produce visible mismatches later if the stored and presented totals are derived differently.""
      },
      {
        ""author"": ""Developer Dave"",
        ""timestamp"": ""2026-03-04T15:00:00Z"",
        ""text"": ""UI note: finance asked for cleaner presentation in one of the pilot currency scenarios, so I explored a more compact display format there while keeping more precise values in the underlying records. We need confirmation that the user-fa",False,False,2,"Feature: Monetary Representation Consistency
  Scenario: Monetary values remain consistent throughout transaction lifecycle
    Given a transaction with amount 150.00 USD at creation
    When the transaction progresses through calculation, storage, and display stages
    Then the amount must be 150.00 USD at each stage
    And the currency must remain USD throughout
    And no silent modifications occur at any stage",present_in_evidence,PRESENT_USABLE,
60,R63,claude-haiku-4-5-20251001,graph,R63_1,8,refine,Rounding rule consistency,"ability specification and avoid relying on outdated uniform timing assumptions."",
    ""status"": ""Closed"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""timestamp"": ""2026-02-23T09:00:00Z"",
        ""text"": ""Completed the overlap checks and lifecycle-triggered refresh flow. One implementation note: an earlier discussion suggested using a single fallback delay after certain rental events, so I initially followed that interpretation before rechecking the current availability rules.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-402"",
    ""summary"": ""Availability Query API"",
    ""description"": ""Develop the endpoint for checking whether an item can be rented within a requested period, ensuring the response reflects the latest rental and item-state information at query time."",
    ""status"": ""In Pro

[8] source=I62 type=Implementation hops=1 rel=IMPLEMENTS
Price calculation logic

[9] source=R70 type=Requirement hops=1 rel=REFINES
Rounding rule consistency

[10] s",False,False,3,"Feature: Calculation Accuracy Consistency
  Scenario: Verify calculation result matches stored and displayed value
    Given a rental calculation with base price 100.00 and duration 5 days
    When the system calculates the total cost
    Then the calculated value is 500.00
    And the stored value in the database is 500.00
    And the displayed value to the user is 500.00
    And all three values are identical",present_in_evidence,PRESENT_SCATTERED,
61,R70,claude-haiku-4-5-20251001,vector,R70_10,8,refine,Calculation accuracy rule,"cChunk hops=0 score=0.6436 chunk=cc00a9173697dc7d doc=JIRA-Payment.md rel=VECTOR_SIMILARITY
[
  {
    ""ticket_id"": ""JIRA-PAY-601"",
    ""summary"": ""Pricing Configuration Service"",
    ""description"": ""Implement the pricing configuration layer so authorized users can define rental pricing structures and apply them consistently to rentable items without retroactively changing already established rental records."",
    ""status"": ""Closed""
  },
  {
    ""ticket_id"": ""JIRA-PAY-602"",
    ""summary"": ""Price Calculation and Precision"",
    ""description"": ""Implement rental cost calculation based on duration and pricing rules, and make sure the resulting amount is derived consistently across calculation, storage, and user-facing display. International billing and currency presentation should be treated as a related operational concern, but must not silently override the core pricing logic."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""timestamp"":",False,False,2,"Feature: Rounding Rule Consistency - Maintenance Window Exception
  Scenario: Concrete Mixers 12-hour override remains active until official Maintenance Matrix is published
    Given the Concrete Mixers emergency maintenance window override is in effect
    When the official Maintenance Matrix is not yet published
    Then the 12-hour (720 minute) window must continue to apply
    And the override must be replaced only when the official Maintenance Matrix is published",present_in_evidence,PRESENT_USABLE,
62,R62,claude-haiku-4-5-20251001,vector,R62_1,20,cross_module,Delivery fee billing consistency,"lifecycle guidance, there may have been a short tolerance window in which this kind of early cancellation should not have triggered the charge."",
  ""s

[6] source=cc00a9173697dc7d type=SrcChunk hops=0 score=0.7033 chunk=cc00a9173697dc7d doc=JIRA-Payment.md rel=VECTOR_SIMILARITY
[
  {
    ""ticket_id"": ""JIRA-PAY-601"",
    ""summary"": ""Pricing Configuration Service"",
    ""description"": ""Implement the pricing configuration layer so authorized users can define rental pricing structures and apply them consistently to rentable items without retroactively changing already established rental records."",
    ""status"": ""Closed""
  },
  {
    ""ticket_id"": ""JIRA-PAY-602"",
    ""summary"": ""Price Calculation and Precision"",
    ""description"": ""Implement rental cost calculation based on duration and pricing rules, and make sure the resulting amount is derived consistently across calculation, storage, and user-facing display. International billing and currency presentation should be treated as a related op",False,False,2,"Feature: Rental Cost Calculation - Date Validation
  Scenario: System rejects rental when start date is not earlier than end date
    Given a rental request with start date ""2024-01-15"" and end date ""2024-01-10""
    When the system validates the rental dates
    Then the system shall reject the rental with an error indicating invalid date range
    And no cost calculation shall be performed",present_in_evidence,ABSENT,
63,R1,gpt-4o-mini,hybrid,R1_1,27,conflict,Make phone number optional,"""2026-02-15T14:38:00Z"",
        ""text"": ""Leading/trailing spaces will be tri

[31] source=db35a35ae0334667 type=SrcChunk hops=0 score=0.7409 chunk=db35a35ae0334667 doc=JIRA-Auth.md rel=VECTOR_SIMILARITY
{
  ""ticket_id"": ""JIRA-Auth-114"",
  ""summary"": ""Allow registration without phone number"",
  ""description"": ""Some users are reluctant to provide their phone number during registration. Consider making the phone number optional in the registration form to reduce signup friction. If phone number is optional, the form validation logic and account model may need adjustments."",
  ""comments"": [
    {
      ""author"": ""Security Engineer Viktor"",
      ""timestamp"": ""2026-02-18T06:12:00Z"",
      ""text"": ""Do we only accept Hungarian (+36) numbers, or international format as well?""
    },
    {
      ""author"": ""Developer Dave"",
      ""timestamp"": ""2026-02-19T10:00:00Z"",
      ""text"": ""Logic Check: JIRA-Auth-101 states the 'Submit' button is disabled until ALL mandatory fields are filled. If I make t",False,False,4,"Feature: Registration Mandatory Fields
  Scenario: 'Submit' button is disabled when mandatory fields are empty
    Given the registration form is displayed
    When no mandatory fields are filled
    Then the 'Submit' button should be disabled",present_in_evidence,PRESENT_USABLE,
64,R72b,claude-haiku-4-5-20251001,vector,R72b_1,20,conflict,EMAIL_DATA_Internal_Audit_Discrepancy.txt,"is available or unavailable for the requested period.
## 4.2.3 The system shall ensure availability queries reflect the latest rent and item status information.

## 4.3 Availability Restrictions
## 4.3.1 The system shall allow authorized users to define availability restrictions for items.
## 4.3.2 The system shall prevent rent creation during restricted periods.
## 4.3.3 The system shall ensure that avail

[5] source=ba9aac1af7d4e225 type=SrcChunk hops=0 score=0.6633 chunk=ba9aac1af7d4e225 doc=EMAIL_FINANCE_MultiCurrency_HACK.txt rel=VECTOR_SIMILARITY
From: finance_director@toolchain.com
Date: 2026-03-03 11:00
Subject: Pilot concern about international billing presentation

Hi Team,

Finance has a concern related to the pilot rollout for internationally billed equipment.

For a subset of high-value inventory, we may need a billing presentation approach that works more cleanly across more than one currency context. The current specification covers general pricing and billing expectatio",False,False,2,"Feature: Financial Report Accuracy
  Scenario: Payment amounts are included in financial reports
    Given a financial report is generated
    When the report contains transaction records
    Then each transaction record shall include a payment amount field
    And the payment amount shall be a numeric value
    And the payment amount shall not be null or empty",present_in_evidence,ABSENT,
65,R41,gpt-4o-mini,graph,R41_1,6,cross_module,Late return penalty calculation," interface needs to distinguish maintenance from other forms of temporary unavailability.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-405"",
    ""summary"": ""Real-time Status Sync"",
    ""description"": ""Ensure availability changes are applied immediately when relevant rental lifecycle events or availability controls are updated."",
    ""status"": ""To Do""
  }
]

[11] source=D41 type=Specification hops=1 rel=DEFINED_IN
Availability Spec

[12] source=I94b type=Implementation hops=1 rel=AFFECTS
Late return penalty calculation

[13] source=I34 type=Implementation/SrcChunk hops=2 chunk=91e709a501470e81 doc=JIRA-Item.md rel=IN_DOC > IN_DOC
f rather than the formal wording from the specification. Please confirm whether this should remain only a UI alias or whether the underlying field meaning is also different.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-ITEM-303"",
    ""summary"": ""Implement Item Modification and Validation"",
    ""description"": ""Allow authorized users to modify item deta",False,False,4,"Feature: Availability Calculation
  Scenario: Update availability when a rent record is created
    Given a rent record is created for an item
    When the system processes the rent record
    Then the availability status of the item should be updated in real time",present_in_evidence,ABSENT,
66,R2,gpt-4o-mini,vector,R2_1,10,cross_module,E.164 normalization + strict email validation,"counts that are not in Active status (e.g., Pending, Suspended, Deleted)."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-110"",
    ""summary"": ""Activation token - Enforce single-use"",
    ""description"": ""Activation tokens shall be single-use. After a successful activation, the system shall invalidate the activation token immediately to prevent reuse."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-111"",
    ""summary"": ""Support registration for multiple users sharing the same email address"",
    ""description"": ""In some use cases (e.g. family accounts or shared organizational email addresses), multiple users may attempt to register using the same email address. Instead of enforcing strict email uniqueness, we may allow multiple accountsto share the same email if another identifier (such as phone number) is unique. This would require adjusting the registration validation logic."",
    ""comments"": [
      {
        ""author"": ""QA Engineer Marta"",
        ""timestamp"": ""202",False,False,2,"Given a user attempts to register with the email address ""user@example.com"" 
When the system checks for existing accounts 
Then the registration should be successful if ""user@example.com"" is not associated with any existing account",present_in_evidence,ABSENT,
67,R50,claude-haiku-4-5-20251001,vector,R50_1,20,conflict,Availability query API,"current availability specification and avoid relying on outdated uniform timing assumptions."",
    ""status"": ""Closed"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""timestamp"": ""2026-02-23T09:00:00Z"",
        ""text"": ""Completed the overlap checks and lifecycle-triggered refresh flow. One implementation note: an earlier discussion suggested using a single fallback delay after certain rental events, so I initially followed that interpretation before rechecking the current availability rules.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-402"",
    ""summary"": ""Availability Query API"",
    ""description"": ""Develop the endpoint for checking whether an item can be rented within a requested period, ensuring the response reflects the latest rental and item-state information at query time."",
    ""status"": ""In Pro

[24] source=91e709a501470e81 type=SrcChunk hops=0 score=0.6828 chunk=91e709a501470e81 doc=JIRA-Item.md rel=VECTOR_SIMILARITY
f rather than the formal wor",False,False,3,"Feature: Availability state semantics separation
  Scenario: Item becomes unavailable when rent record is Active
    Given a rent record exists in Requested state
    And an item is available for the rental period
    When the rent record transitions to Active state
    Then the item availability status should update to unavailable in real-time
    And the availability change should be reflected immediately",present_in_evidence,PRESENT_USABLE,
68,R50,claude-haiku-4-5-20251001,hybrid,R50_10,19,conflict,Maintenance period management,"ound an ambiguity in query results after the recent item-management changes. Records that are no longer operationally valid are being surfaced through the same availability wording used for temporarily blocked items, which may mislead users about whether the item is recoverable or simply not rentable at the moment.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-403"",
    ""summary"": ""Manual Availability Restrictions"",
    ""description"": ""Allow authorized users to define manual non-rentable periods and ensure those restrictions take precedence over otherwise rentable time windows."",
    ""status"": ""To Do""
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-404"",
    ""summary"": ""Maintenance Period Management"",
    ""description"": ""Implement maintenance windows for items, ensure those periods block rental activity, and make the item appear non-rentable while the maintenance 

[7] source=I44 type=Implementation/SrcChunk hops=1 chunk=e6716dab172b3183 doc=JIRA-Availability.md rel=CONFLICTS_WITH
: ""Main",False,False,3,"Feature: Availability State Semantics Separation
  Scenario: Distinguish between different categories of item non-availability
    Given an item with multiple potential unavailability reasons (active rent, maintenance, manual restriction, deleted)
    When I query the availability status for the item
    Then the response must use distinct semantic categories for each unavailability reason
    And the response must not use generic 'unavailable' or 'non-rentable' for all reasons
    And each semantic category must clearly communicate the nature and recoverability of the unavailability",present_in_evidence,PRESENT_USABLE,
69,R41,gpt-4o-mini,vector,R41_1,8,cross_module,Late return penalty calculation,"c218234 doc=JIRA-Lifecycle.md rel=VECTOR_SIMILARITY
 [
      {
        ""author"": ""Backend Engineer Tomas"",
        ""timestamp"": ""2026-02-12T14:20:00Z"",
        ""text"": ""RBAC (Role-Based Access Control) integrated. Only users with 'OPERATOR' or 'ADMIN' roles can trigger approval.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-LIFE-204"",
    ""summary"": ""Manual Rent Completion for Operators"",
    ""description"": ""Allow authorized users to manually trigger rent completion. This is required for early returns."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""QA Engineer Marta"",
        ""timestamp"": ""2026-02-21T10:15:00Z"",
        ""text"": ""Clarification needed: If an operator completes a rent early, does the 'Maintenance' (v1.2) period start immediately, or only at the original end date?""
      }
    ]
  },
  {
  ""ticket_id"": ""JIRA-LIFE-205"",
  ""summary"": ""Bug: Penalty applied during early operator cancellation"",
  ""description"": ""An operator reported that a rent was",False,False,2,"Feature: Availability Calculation
  Scenario: Update availability when a rent record is created
    Given a rent record is created for an item
    When the system processes the rent record
    Then the availability of the item should be updated in real time",present_in_evidence,PRESENT_USABLE,
70,R25,gpt-4o-mini,hybrid,R25_1,30,cross_module,Real-time availability update,"e the maintenance window is in effect."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Tomas"",
        ""timestamp"": ""2026-02-24T10:00:00Z"",
        ""text"": ""Current implementation path uses the existing non-rentable status handling for maintenance-related periods as well. We should confirm whether the user interface needs to distinguish maintenance from other forms of temporary unavailability.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-405"",
    ""summary"": ""Real-time Status Sync"",
    ""description"": ""Ensure availability changes are applied immediately when relevant rental lifecycle events or availability controls are updated."",
    ""status"": ""To Do""
  }
]

[8] source=R93c type=Requirement/SrcChunk hops=1 chunk=fdb6d8e7e523c75b doc=TOOLCHAIN-CONF-REWARDS&PANELTIES-01.md rel=AFFECTS
# Documentum ID: TOOLCHAIN-CONF-REWARDS&PANELTIES-01
# Description: Rewards and Penalties Management
# Status: Effective

## 9. Rewards and Penalties Management

## 9.1 L",False,False,2,"Feature: End-of-rent lifecycle transition
  Scenario: Update rent status to Maintenance
    Given a rent record with a rental end date in the past
    When the rental end date is reached
    Then the rent status should be updated to 'Maintenance'",present_in_evidence,PRESENT_USABLE,
71,R72b,gpt-4o-mini,vector,R72b_10,18,cross_module,Calculation accuracy rule,"l maintain the full lifecycle history of e

[13] source=fdb6d8e7e523c75b type=SrcChunk hops=0 score=0.6415 chunk=fdb6d8e7e523c75b doc=TOOLCHAIN-CONF-REWARDS&PANELTIES-01.md rel=VECTOR_SIMILARITY
# Documentum ID: TOOLCHAIN-CONF-REWARDS&PANELTIES-01
# Description: Rewards and Penalties Management
# Status: Effective

## 9. Rewards and Penalties Management

## 9.1 Loyalty Points Accrual
## 9.1.1 The system shall allow users to earn loyalty points based on completed rents.
## 9.1.2 The system shall calculate loyalty points according to configured business rules.
## 9.1.3 The system shall assign loyalty points only when rent status is Completed and payment status is Paid.
## 9.1.4 The system shall store loyalty point balances in the user account.
## 9.1.5 The system shall update loyalty balances immediately after points are awarded.

## 9.2 Loyalty Points Redemption
## 9.2.1 The system shall allow users to redeem loyalty points for discounts.
## 9.2.2 The system shall validate sufficient lo",False,False,2,"Feature: Financial Report Accuracy
  Scenario: System response to incorrect financial data
    Given incorrect financial data is entered
    When the financial report is generated
    Then the system should notify the user of the inaccuracies",present_in_evidence,ABSENT,
72,R5,gpt-4o-mini,graph,R5_1,10,refine,Activation token hashing and expiry," and underscores. The domain must contain at least one dot and valid domain name characters. Example of valid format: user.name@example.com""
    }
  ]
},
  {
    ""ticket_id"": ""JIRA-Auth-104"",
    ""summary"": ""Registration - Create Pending account after successful submission"",
    ""description"": ""Upon successful submission of the registration form, the system shall create a new user account with status set to Pending."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-105"",
    ""summary"": ""Activation - Send confirmation email with activation link"",
    ""description"": ""After successful registration, the system shall send an account activation email to the provided email address. The email shall c

[9] source=G1 type=Gap hops=1 rel=AFFECTS
Activation expiry / pending cleanup gap

[10] source=I10 type=Implementation hops=1 rel=REFINES
Activation token hashing and expiry

[11] source=A3 type=Actor/SrcChunk hops=2 chunk=4c32feaa92e54f29 doc=CONF-AUTH-01.md rel=IN_DOC > IN_DOC
 stored s",False,False,4,"Given a user has registered and received an activation email with a valid activation link
When the user clicks on the activation link
Then the account status should be updated to Active",present_in_evidence,PRESENT_SCATTERED,
73,R80,gpt-4o-mini,vector,R80_1,20,refine,Financial report accuracy rule,".md rel=VECTOR_SIMILARITY
# Documentum ID: TOOLCHAIN-CONF-REPORTING-01
# Description: Reporting and Audit
# Status: Effective

## 7. Reporting and Audit

## 7.1 Rent Reports
## 7.1.1 The system shall allow authorized users to generate reports of rent records.
## 7.1.2 The system shall allow reports to include rent status, item identifier, user identifier, and rental period.
## 7.1.3 The system shall allow filtering of rent reports by date range.
## 7.1.4 The system shall allow filtering of rent reports by rent status.
## 7.1.5 The system shall allow filtering of rent reports by rentable item.

## 7.2 Financial Reports
## 7.2.1 The system shall allow authorized users to generate financial reports.
## 7.2.2 The system shall include payment amounts, payment status, and invoice information in financial reports.
## 7.2.3 The system shall allow filtering financial reports by date range.
## 7.2.4 The system shall ensure financial report accuracy.

## 7.3 User Activity Reports
## 7.3.1 The sys",False,False,3,"Feature: Authoritative monetary source consistency
  Scenario: Consistent pricing presentation
    Given the authoritative monetary source is set
    When a pricing presentation is generated
    Then the pricing must reflect the authoritative monetary source consistently",present_in_evidence,PRESENT_USABLE,
